,Title,Zone,Price,Size (m²),Status
0,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
1,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
2,Apartment,               Praia da Barra,850,94.0,Usado
3,Apartment,               Lordelo do Ouro e Massarelos,1100,98.0,Usado
4,Apartment,               Av. Visconde Valmor,450,135.0,Usado
5,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
6,Apartamento T2,               Vila do Conde,2,110.0,Renovado
7,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
8,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
9,"Apartamento T2, Albufeira Green Apartments - Condominio privado",               Albufeira e Olhos de Água,505000,239.0,Em construção
10,Apartamento T3 no Parque da Devesa,               Vila Nova de Famalicão e Calendário,3,176.0,Usado
11,Apartamento T3,               Ocidental (Calendário),3,160.0,Novo
12,"Apartamento Remodelado com óptimos acabamentos, ao centro da Maia.",               Cidade da Maia,165000,105.0,Renovado
13,"Apartamento T2, Parede",               Carcavelos e Parede,1600,78.0,Usado
14,Novo Apartamento T2 com Varanda à Santa Rita,               Monte da Costa,175000,100.0,Em construção
15,"Apartamento T3 com terraço de acesso privativo em Duplex na cobertura, Seixal (Grande Lisboa) em condomínio fechado com piscina panorâmica na cobertura",               Quinta da Trindade   (Seixal),924000,310.0,Em construção
16,"Apartamento T2, Albufeira, com boas varandas em condomínio fechado com piscina e jardim em bairro residencial calmo",               Correeira (Albufeira),309000,120.0,Em construção
17,Penthouse com Varanda 84m2 entre Matosinhos Sul e o Parque da Cidade,               Matosinhos e Leça da Palmeira,725000,263.0,Novo
18,Espectacular apartamento T4 no centro da Maia,               Centro (Maia),435000,176.0,Usado
19,T3 em condomínio de luxo com vista mar na Foz do Douro,               Foz (Foz do Douro),740000,156.0,Usado
20,Empreendimento Jardins Efanor,               São Mamede de Infesta e Senhora da Hora,683638,261.0,Usado
21,T4+1 Duplex Pinhais da Foz,               Aldoar,1250000,367.0,Usado
22,T2 Matosinhos Sul primeira linha de mar,               Matosinhos-Sul (Matosinhos),550000,123.0,Usado
23,T5 no Palácio da Enseada em Matosinhos Sul,               Matosinhos e Leça da Palmeira,1100000,286.0,Usado
24,Apartamento Triplex T3 para Venda na Figueira da Foz,               Figueira da Foz (São Julião (Figueira da Foz)),,225.0,Usado
25,Apartamento T3 em Construção para Venda em Braga,               Real,,135.0,Em construção
26,Apartamento T2 em Construção para Venda em Braga,               Real,,103.0,Em construção
27,"T2 com Terraços - Campo de Ourique, construção de 2018",               Campo de Ourique,620000,96.0,Recuperado
28,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
29,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
30,Apartment,               Centro (Cascais),125000,80.0,Renovado
31,Apartment,               Algés,1400,100.0,Novo
32,Apartment,               Lordelo do Ouro e Massarelos,820000,170.0,Usado
33,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
34,Apartamento T2,               Vila do Conde,2,110.0,Renovado
35,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
36,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
37,"Apartamento T2, Albufeira Green Apartments - Condominio privado",               Albufeira e Olhos de Água,505000,239.0,Em construção
38,Apartamento T3 no Parque da Devesa,               Vila Nova de Famalicão e Calendário,3,176.0,Usado
39,Apartamento T3,               Ocidental (Calendário),3,160.0,Novo
40,"Apartamento Remodelado com óptimos acabamentos, ao centro da Maia.",               Cidade da Maia,165000,105.0,Renovado
41,"Apartamento T2, Parede",               Carcavelos e Parede,1600,78.0,Usado
42,Novo Apartamento T2 com Varanda à Santa Rita,               Monte da Costa,175000,100.0,Em construção
43,"Apartamento T3 com terraço de acesso privativo em Duplex na cobertura, Seixal (Grande Lisboa) em condomínio fechado com piscina panorâmica na cobertura",               Quinta da Trindade   (Seixal),924000,310.0,Em construção
44,"Apartamento T2, Albufeira, com boas varandas em condomínio fechado com piscina e jardim em bairro residencial calmo",               Correeira (Albufeira),309000,120.0,Em construção
45,Penthouse com Varanda 84m2 entre Matosinhos Sul e o Parque da Cidade,               Matosinhos e Leça da Palmeira,725000,263.0,Novo
46,Espectacular apartamento T4 no centro da Maia,               Centro (Maia),435000,176.0,Usado
47,T3 em condomínio de luxo com vista mar na Foz do Douro,               Foz (Foz do Douro),740000,156.0,Usado
48,Empreendimento Jardins Efanor,               São Mamede de Infesta e Senhora da Hora,683638,261.0,Usado
49,T4+1 Duplex Pinhais da Foz,               Aldoar,1250000,367.0,Usado
50,T2 Matosinhos Sul primeira linha de mar,               Matosinhos-Sul (Matosinhos),550000,123.0,Usado
51,T5 no Palácio da Enseada em Matosinhos Sul,               Matosinhos e Leça da Palmeira,1100000,286.0,Usado
52,Apartamento Triplex T3 para Venda na Figueira da Foz,               Figueira da Foz (São Julião (Figueira da Foz)),,225.0,Usado
53,Apartamento T3 em Construção para Venda em Braga,               Real,,135.0,Em construção
54,Apartamento T2 em Construção para Venda em Braga,               Real,,103.0,Em construção
55,"T2 com Terraços - Campo de Ourique, construção de 2018",               Campo de Ourique,620000,96.0,Recuperado
56,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
57,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
58,Apartment,               Avenal (Nossa Senhora do Pópulo),690000,80.0,Usado
59,Apartment,               Av. Visconde Valmor,390000,116.0,Usado
60,Apartment,               Av. António Augusto Aguiar (São Sebastião da Pedreira),2100,135.0,Recuperado
61,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
62,Apartamento T2,               Vila do Conde,2,110.0,Renovado
63,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
64,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
65,"Apartamento T2, Albufeira Green Apartments - Condominio privado",               Albufeira e Olhos de Água,505000,239.0,Em construção
66,Apartamento T3 no Parque da Devesa,               Vila Nova de Famalicão e Calendário,3,176.0,Usado
67,Apartamento T3,               Ocidental (Calendário),3,160.0,Novo
68,"Apartamento Remodelado com óptimos acabamentos, ao centro da Maia.",               Cidade da Maia,165000,105.0,Renovado
69,"Apartamento T2, Parede",               Carcavelos e Parede,1600,78.0,Usado
70,Novo Apartamento T2 com Varanda à Santa Rita,               Monte da Costa,175000,100.0,Em construção
71,"Apartamento T3 com terraço de acesso privativo em Duplex na cobertura, Seixal (Grande Lisboa) em condomínio fechado com piscina panorâmica na cobertura",               Quinta da Trindade   (Seixal),924000,310.0,Em construção
72,"Apartamento T2, Albufeira, com boas varandas em condomínio fechado com piscina e jardim em bairro residencial calmo",               Correeira (Albufeira),309000,120.0,Em construção
73,Penthouse com Varanda 84m2 entre Matosinhos Sul e o Parque da Cidade,               Matosinhos e Leça da Palmeira,725000,263.0,Novo
74,Espectacular apartamento T4 no centro da Maia,               Centro (Maia),435000,176.0,Usado
75,T3 em condomínio de luxo com vista mar na Foz do Douro,               Foz (Foz do Douro),740000,156.0,Usado
76,Empreendimento Jardins Efanor,               São Mamede de Infesta e Senhora da Hora,683638,261.0,Usado
77,T4+1 Duplex Pinhais da Foz,               Aldoar,1250000,367.0,Usado
78,T2 Matosinhos Sul primeira linha de mar,               Matosinhos-Sul (Matosinhos),550000,123.0,Usado
79,T5 no Palácio da Enseada em Matosinhos Sul,               Matosinhos e Leça da Palmeira,1100000,286.0,Usado
80,Apartamento Triplex T3 para Venda na Figueira da Foz,               Figueira da Foz (São Julião (Figueira da Foz)),,225.0,Usado
